id,user_id,created,updated,title,age_group_ids,auto_created,item_ids,code,account_ids,delivery,eat_in,takeaway,discount,discount_type,start_date_time,end_date_time,freebie_id,monday_from,monday_to,tuesday_from,tuesday_to,wednesday_from,wednesday_to,thursday_from,thursday_to,friday_from,friday_to,saturday_from,saturday_to,sunday_from,sunday_to,gender_ids,goodie_bag_id,maximum_cltv,maximum_orders,minimum_cltv,minimum_orders,minimum_spend,parent_id,area_ids,place_id,price,provider,redemptions,redemptions_per_customer,status,table_id,tier_category_ids,type,used_redemptions,validity_hours,value,variation,visibility
72654,417,2021-10-08 20:00:00+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72461.0,,,,,Percentage,2021-10-08 22:00:00+00:00,2021-10-18 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72655,417,2021-10-08 20:00:00+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72452.0,,,,,Percentage,2021-10-08 22:00:00+00:00,2021-10-18 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72892,417,2021-10-09 19:54:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72575.0,,,,,Percentage,2021-10-09 21:54:01+00:00,2021-10-19 21:54:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72894,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72609.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72895,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72645.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72896,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72565.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72897,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72600.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72898,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72591.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72899,417,2021-10-09 20:00:01+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72630.0,,,,,Percentage,2021-10-09 22:00:01+00:00,2021-10-19 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72926,417,2021-10-10 12:35:01+00:00,2022-08-02 23:25:58+00:00,2 for 1 on Pizza,,0.0,72091,,72729.0,,,,,Percentage,2021-10-10 14:35:01+00:00,2021-10-20 14:35:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
