id,user_id,created,updated,place_id,status,type
76064,417,2021-11-08 10:46:52+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76071,417,2021-11-08 10:46:52+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76075,417,2021-11-08 10:46:53+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76081,417,2021-11-08 10:46:53+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76085,417,2021-11-08 10:46:53+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76091,417,2021-11-08 10:46:54+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76094,417,2021-11-08 10:46:54+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76101,417,2021-11-08 10:46:55+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76104,417,2021-11-08 10:46:55+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76111,417,2021-11-08 10:46:56+00:00,2022-08-02 23:30:00+00:00,59897,Inactive,2 for 1 on specific menu items
76114,417,2021-11-08 10:46:56+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76119,417,2021-11-08 10:46:56+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76126,417,2021-11-08 10:46:57+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76129,417,2021-11-08 10:46:57+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76135,417,2021-11-08 10:46:57+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76140,417,2021-11-08 10:46:58+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76148,417,2021-11-08 10:46:58+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76150,417,2021-11-08 10:46:58+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76157,417,2021-11-08 10:46:59+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76159,417,2021-11-08 10:46:59+00:00,2022-08-02 23:30:37+00:00,59897,Inactive,2 for 1 on specific menu items
76166,417,2021-11-08 10:47:00+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76170,417,2021-11-08 10:47:00+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76198,417,2021-11-08 10:47:08+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76200,417,2021-11-08 10:47:09+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76201,417,2021-11-08 10:47:09+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76203,417,2021-11-08 10:47:09+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76204,417,2021-11-08 10:47:09+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76209,417,2021-11-08 10:47:10+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
76210,417,2021-11-08 10:47:10+00:00,2022-08-02 23:31:12+00:00,59897,Inactive,2 for 1 on specific menu items
