"id","user_id","created","updated","place_id","status","type"
76129,417,1636368417,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76135,417,1636368417,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76140,417,1636368418,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76148,417,1636368418,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76150,417,1636368418,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76157,417,1636368419,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76159,417,1636368419,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76166,417,1636368420,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76170,417,1636368420,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76198,417,1636368428,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76200,417,1636368429,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76201,417,1636368429,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76203,417,1636368429,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76204,417,1636368429,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76209,417,1636368430,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76210,417,1636368430,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76211,417,1636368430,1659483072,59897,Inactive,"2 for 1 on specific menu items"
76212,417,1636368430,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76213,417,1636368430,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76228,417,1636368431,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76232,417,1636368432,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76239,417,1636368432,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76242,417,1636368432,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76249,417,1636368433,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76252,417,1636368433,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76259,417,1636368434,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76263,417,1636368434,1659483107,59897,Inactive,"2 for 1 on specific menu items"
76268,417,1636368435,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76273,417,1636368435,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76277,417,1636368435,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76282,417,1636368436,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76289,417,1636368436,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76292,417,1636368437,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76295,417,1636368437,1659483143,59897,Inactive,"2 for 1 on specific menu items"
76303,417,1636368437,1659483143,59897,Inactive,"2 for 1 on specific menu items"
